18776133-17	In the current study, we found that treatment of peripheral blood mononuclear cells with combination <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> / <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> for 48 hours, but not with <mark style="background-color:lightgreen;" id="O62641,O77620,O97513,P04351,P05016,P17108,P19114,P26891,P36835,P37997,P46649,P51747,P60568,P60569,P68290,P68291,Q07885,Q08081,Q08867,Q1WM29,Q25BC3,Q29416,Q29615,Q2PE47,Q2PE78,Q4U313,Q5MBA8,Q5PXD0,Q7JFM2,Q7JFM3,Q7JFM4,Q7JFM5,Q865X2,Q865Y1,Q8MKH2,Q95KP3,Q9XS38,Q9XT83,Q9XT84">IL-2</mark> or <mark style="background-color:lightgreen;" id="O77762,P05112,P07750,P20096,P30367,P30368,P42202,P46652,P47966,P51492,P51744,P55030,P79155,P79339,Q04745,Q2PE74,Q3S4V6,Q58M18,Q60440,Q7YS71,Q865X5,Q865Y0,Q8HYB1,Q9MZR8,Q9XS58">IL-4</mark> alone, abrogated <mark style="background-color:lightblue;" id="5743">dexamethasone</mark> ( <mark style="background-color:lightgreen;" id="P48845">DEX</mark> )-induced <mark style="background-color:lightgreen;" id="O13186,O46567,O73673,P04150,P06536,P06537,P35547,P49115,P49843,P49844,P59667,P79269,P79686,Q5R9P5,Q6XLJ0,Q95267,Q9N1U3">glucocorticoid receptor</mark> (GCR)-alpha nuclear translocation in both <mark style="background-color:lightgreen;" id="P01730,P05542,P16003,P16004,P33705,P46630,P79184,P79185,Q08336,Q08338,Q08339,Q08340,Q29037,Q9XS78">CD4</mark> (+) and CD8(+) T cells.
18789440-1646	In the present study, we have investigated the effect of <mark style="background-color:lightgreen;" id="O35497,O35735,O57571,O57603,O57608,O73915,O77763,P01579,P01580,P01581,P07353,P17773,P17803,P28333,P28341,P30123,P42160,P42161,P42162,P46402,P49708,P63309,P63310,P63311,P79154,Q1WM28,Q25BC0,Q2PE75,Q4ZH68,Q5CCK0,Q5I6S9,Q62574,Q647G2,Q7TSP4,Q865W6,Q865X1,Q865Y4,Q866Y6,Q8MKF5,Q8SPW9,Q9QXX2,Q9TTB0,Q9TV67,Q9YGB9">IFN-gamma</mark> on <mark style="background-color:lightgreen;" id="O95477">ABCA1</mark> expression and <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> efflux in <mark style="background-color:lightgreen;" id="P07911,P10070,P27590,P48733,Q862Z3,Q91X17">THP</mark> -1 macrophage-derived foam cells.
18814279-1660	<mark style="background-color:lightblue;" id="5291">Imatinib mesylate</mark> (<mark style="background-color:lightblue;" id="5291">imatinib</mark>) is a potent and selective inhibitor of the <mark style="background-color:lightblue;" id="1153,6057,5460803">tyrosine</mark> kinases, <mark style="background-color:lightgreen;" id="P28246,P45123">Bcr</mark> - <mark style="background-color:lightgreen;" id="P00520,P00522">Abl</mark> , <mark style="background-color:lightgreen;" id="O97799,P05532,P10721,P43481,Q08156,Q28317,Q28889,Q2HWD6,Q76II0,Q8AXC6">c-Kit</mark> and platelet-derived growth factor receptors (PDGFRs).
18797943-1672	Sixty-one percent of the isolates were <mark style="background-color:lightgreen;" id="P80298,P80545,P81173">beta-lactamase</mark> producers, which explains the poor activity of <mark style="background-color:lightblue;" id="5904">penicillin</mark>.
18781596-1677	Finally and most importantly, our data indicate that a decrease in AKT activity followed by a total decrease in <mark style="background-color:lightgreen;" id="O39927,O39928,O39929,O91936,O92529,O92530,O92531,O92532,P08133,P14824,P26660,P26661,P26662,P26663,P26664,P27694,P27958,P29846,P48037,P51901,P79134,Q00269,Q01588,Q24492,Q5FW17,Q5I2N3,Q5R7Q4,Q5ZJJ2,Q68749,Q68798,Q68801,Q6NY74,Q81258,Q81487,Q81495,Q81754,Q8VEE4,Q913D4,Q99IB8,Q9DHD6,Q9FMI7,Q9QAX1,Q9WMX2">p70</mark> ( <mark style="background-color:lightgreen;" id="P23443,P67998,P67999,Q6TJY3,Q8BSK8">S6K</mark> ) <mark style="background-color:yellow;" id="GO:0016310,biological_process">phosphorylation</mark> reflecting a decrease in <mark style="background-color:lightgreen;" id="P42345,P42346,Q9JLN9">mTOR</mark> activity occurs during high <mark style="background-color:lightblue;" id="977">oxygen</mark> consumption, resulting from high cell density.
18798833-1679	Later-onset congenital central hypoventilation syndrome due to a heterozygous 24-<mark style="background-color:lightblue;" id="5950">polyalanine</mark> repeat expansion mutation in the <mark style="background-color:lightgreen;" id="Q99453">PHOX2B</mark> gene.
18798833-1680	to describe a family with later onset congenital central hypoventilation syndrome (LO-CCHS) and heterozygosity for a 24-<mark style="background-color:lightblue;" id="5950">polyalanine</mark> repeat expansion mutation in the <mark style="background-color:lightgreen;" id="Q99453">PHOX2B</mark> gene, rendered phenotypically apparent with exposure to anesthetics.
18781650-1708	Some of the peptide derivatives inhibited <mark style="background-color:lightgreen;" id="P36836,P46059,Q8WMX5">PEPT1</mark> -mediated uptake of [(3)H]<mark style="background-color:lightblue;" id="750,5460845">Gly</mark>- <mark style="background-color:lightgreen;" id="P00655,Q7TQ48">Sar</mark> .
18757097-1716	Human skin keratinocytes HaCat attacked by Staphylococcus aureus <mark style="background-color:lightgreen;" id="P09616,P0C216,Q0TV31,Q9RF12">alpha-toxin</mark> showed a transient drop of cellular <mark style="background-color:lightblue;" id="5957">ATP</mark> levels whereas in toxin-perforated bovine mammary epithelial cells (BMEC), the <mark style="background-color:lightblue;" id="5957">ATP</mark> levels dropped more slowly.
18765295-1718	In permeabilized muscle fibers, we observed, a strong inhibition of both state 3 mitochondrial respiration and functionally isolated maximal <mark style="background-color:lightgreen;" id="O07091,O13393,O22642,O93863,P00002,P00003,P00004,P00007,P00008,P00011,P00012,P00013,P00014,P00017,P00018,P00019,P00020,P00021,P00022,P00024,P00025,P00027,P00028,P00029,P00030,P00031,P00032,P00035,P00036,P00037,P00038,P00039,P00040,P00041,P00042,P00043,P00046,P00047,P00048,P00049,P00051,P00052,P00053,P00054,P00055,P00056,P00057,P00058,P00059,P00060,P00061,P00062,P00063,P00064,P00065,P00066,P00067,P00068,P00069,P00070,P00071,P00072,P00073,P00074,P00075,P00076,P00077,P00078,P00079,P12831,P15451,P18822,P19681,P19974,P21665,P22342,P25400,P29380,P32556,P38091,P53698,P56205,P59218,P62772,P62773,P62894,P62895,P62896,P67881,P67882,P68096,P68097,P68098,P68099,P68100,P68517,P68518,P68519,P81280,P81459,P99998,P99999,Q41346,Q4HVX7,Q52V08,Q52V09,Q52V10,Q5RFH4,Q640U4,Q6C9Q0,Q6IQM2,Q6Q4H8,Q6QLW4,Q6WUX8,Q753F4,Q7YR71,Q96VP3">cytochrome c</mark> oxidase ( <mark style="background-color:lightgreen;" id="P11353,P36551,P36552,Q9UTE2,Q9V3D2">COX</mark> ) activity after 49 days of <mark style="background-color:lightblue;" id="6860">MeHg</mark> exposure.
18781688-1722	For a combined mass loading of <mark style="background-color:lightgreen;" id="P07981,P07982,P07983,P10474,P10475,P10476,P13933,P15329,P15704,P16216,P17974,P18126,P18336,P19487,P21833,P21834,P22533,P22669,P22699,P23548,P23549,P23665,P27035,P29019,P37651,P37696,P45699,P46236,P46237,P46239,P58599,P58935,P81190,P82186,P84194,P84196,Q05622,Q12622,Q12714,Q8RSY9,Q8X5L9,Q8Z289,Q8ZLB7">cellulase</mark> and <mark style="background-color:lightgreen;" id="P12614,P15885,P27034,P29091,P40740,Q03506,Q46684">beta-glucosidase</mark> of 16.1 mg/g original <mark style="background-color:lightblue;" id="5793">glucan</mark> (about 7.5 FPU/g), <mark style="background-color:lightblue;" id="5793">glucose</mark> release from pretreated solids ranged from 50% to75% of the theoretical maximum and was greater for all pretreatments at all protein loadings compared to pure Avicel cellulose except for solids from controlled pH pretreatment and from dilute acid pretreatment by the Sunds pilot unit.
18798087-1724	Since the discovery of <mark style="background-color:lightblue;" id="5280754,5284373,5497195,6435893,24883466,25246316">cyclosporine</mark> in 1971, <mark style="background-color:lightgreen;" id="O88480,Q9Y6J0">calcineurin inhibitors</mark> have played a critical role in the therapeutic suppression of the <mark style="background-color:yellow;" id="GO:0006955,biological_process">immune response</mark> .
18798087-1725	With the introduction of <mark style="background-color:lightblue;" id="5372,445643,445647,6426916,6436007,6473866,6536850,9940643,23581796,54611630">tacrolimus</mark>, a more potent <mark style="background-color:lightgreen;" id="O88480,Q9Y6J0">calcineurin inhibitor</mark> , clinical outcomes of transplants have continued to improve; however, little improvement has been noted in lung transplantation.
18724397-1741	The prevalence rates of elevated blood pressure and hypertriglyceridemia were significantly higher among HCT recipients than among controls, but the prevalence rates of abdominal obesity, elevated blood <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark> and low <mark style="background-color:lightgreen;" id="P81182">high-density lipoprotein</mark> <mark style="background-color:lightblue;" id="304,5997,6432564,11025495">cholesterol</mark> were not.
18807050-1746	The protein is insensitive to lactate, but affected by urate which markedly increased <mark style="background-color:lightgreen;" id="P80888">hemocyanin</mark> -<mark style="background-color:lightblue;" id="977">oxygen</mark> affinity, acting as the physiological major positive effector.
18757189-1750	A novel <mark style="background-color:lightblue;" id="906,444885,445063">sialic acid</mark>-specific <mark style="background-color:lightgreen;" id="P02871,P02873,P02874,P02875,P07386,P16108,P16349,P16351,P16352,P33888,P38662,P42088,P83410,P83511,P84987,Q41114">lectin</mark> from Phaseolus coccineus seeds with potent antineoplastic and antifungal activities.
18757189-1751	A novel <mark style="background-color:lightgreen;" id="P02871,P02873,P02874,P02875,P07386,P16108,P16349,P16351,P16352,P33888,P38662,P42088,P83410,P83511,P84987,Q41114">lectin</mark> (PCL) with specificity towards <mark style="background-color:lightblue;" id="906,444885,445063">sialic acid</mark> was purified from Phaseolus coccineus L. (P. multiflorus willd) seeds using ion exchange chromatography on CM and DEAE-Sepharose, and gel filtration on Sephacryl S-200 column.
18757233-1762	The characterization for the <mark style="background-color:yellow;" id="GO:0005488,molecular_function">binding</mark> of calcium and <mark style="background-color:lightblue;" id="23958">terbium</mark> to Euplotes octocarinatus <mark style="background-color:lightgreen;" id="P05434,P41210,P43645,P43646,P53441,P54213,Q06827,Q24956,Q27177,Q27178,Q27179">centrin</mark> .
18790021-1764	To address this issue, we have examined the effects of excitotoxic lesion of CM/Pf and of <mark style="background-color:lightblue;" id="4624">6-hydroxydopamine</mark>-induced lesion of nigral <mark style="background-color:lightblue;" id="681">dopamine</mark> neurons, separately or in association, on gene expression of markers of neuronal activity in the rat basal ganglia (striatal <mark style="background-color:lightgreen;" id="P21259">neuropeptide</mark> precursors, <mark style="background-color:lightgreen;" id="P14748,P48319,Q5IS68,Q99259">GAD67</mark> , <mark style="background-color:lightgreen;" id="P45021">cytochrome oxidase subunit I</mark> ) by quantitative in situ hybridization histochemistry.
18716315-1772	<mark style="background-color:lightgreen;" id="O12164,O41803,O70902,O89292,O91086,P03375,P03377,P03378,P04577,P04578,P04579,P04580,P04581,P04582,P04583,P04624,P05877,P05878,P05879,P05880,P05881,P05882,P05883,P05884,P05885,P05886,P08810,P11267,P12449,P12487,P12488,P12489,P12490,P12491,P12492,P15831,P17281,P17755,P18040,P18094,P18799,P19503,P19549,P19550,P19551,P20871,P20872,P20888,P22380,P24105,P27757,P27977,P31819,P31872,P32536,P35961,Q02837,Q1A243,Q1A261,Q70626,Q73372,Q74126,Q75008,Q76638,Q77377,Q79670,Q89607,Q8AIH5,Q9IDV2,Q9Q714,Q9QBY2,Q9QBZ0,Q9QBZ4,Q9QBZ8,Q9QSQ7,Q9WC60,Q9WC69">Gp120</mark> /VT1bound <mark style="background-color:lightgreen;" id="P32217">C18</mark> and <mark style="background-color:lightblue;" id="446804">C24</mark>:1Gb(3) mixtures, although neither isoform bound alone.
18757307-1779	We have previously shown that ROS-induced <mark style="background-color:lightgreen;" id="P98088">MUC5AC</mark> expression in NHBE cells is dependent on <mark style="background-color:lightblue;" id="24759">hyaluronan</mark> depolymerization and <mark style="background-color:lightgreen;" id="P55245">epidermal growth factor receptor</mark> ( <mark style="background-color:lightgreen;" id="P00533,P13387,P55245">EGFR</mark> )/ <mark style="background-color:lightgreen;" id="Q00859">mitogen-activated protein kinase</mark> ( <mark style="background-color:lightgreen;" id="O42781,P27638,Q00859">MAPK</mark> ) activation.
18790083-1786	Participating in a significant fraction of the fundamental paths connecting the ligands to the phenotypes, cofactor <mark style="background-color:lightblue;" id="6830">GTP</mark> and complex Gbeta/Ggamma were identified as "housekeeping" molecules, through which all pathways of <mark style="background-color:lightgreen;" id="P00533,P13387,P55245">EGFR</mark> network are cross-talking.
18798281-1790	In contrast, chelating <mark style="background-color:yellow;" id="GO:0005622,cellular_component">intracellular</mark> calcium ([<mark style="background-color:lightblue;" id="271">Ca(2</mark>+)](i)) by <mark style="background-color:lightblue;" id="2293">BAPTA-AM</mark> abolished <mark style="background-color:lightgreen;" id="O18752,O18753,O18755,O70183,O97759,P14082,P21237,P23363,P23560,P25429,P25430,P25431,P25432,Q02193,Q06225,Q3SAT7,Q4L0Y3,Q5IS78,Q6LCI5,Q7YRB4,Q90322,Q95106,Q9TST3">BDNF</mark> -mediated Arc up-regulation.
18798281-1791	These data suggested novel functions of [<mark style="background-color:lightblue;" id="271">Ca(2</mark>+)](i) and <mark style="background-color:lightgreen;" id="O02367,O16305,O60041,O82018,O94739,O96102,O97341,P02594,P02595,P02598,P02599,P04352,P04353,P04464,P05933,P05934,P05935,P06787,P07463,P11118,P11120,P11121,P15094,P17928,P18061,P21251,P23286,P24044,P27161,P27165,P27166,P41040,P41041,P48976,P60204,P60205,P60206,P61859,P61860,P61861,P62144,P62145,P62149,P62151,P62152,P62154,P62155,P62156,P62157,P62158,P62160,P62161,P62162,P62184,P62201,P62202,P62203,P62204,P69097,P69098,P84339,P93087,P93171,Q00168,Q05055,Q39752,Q40302,Q5EHV7,Q5RAD2,Q6IT78,Q6PI52,Q6R520,Q6YNX6,Q71UH5,Q71UH6,Q7T3T2,Q7Y052,Q8STF0,Q8X187,Q95NI4,Q95NR9,Q9GRJ1,Q9HFY6,Q9U6D3,Q9UWF0">CaM</mark> in <mark style="background-color:lightgreen;" id="O18752,O18753,O18755,O70183,O97759,P14082,P21237,P23363,P23560,P25429,P25430,P25431,P25432,Q02193,Q06225,Q3SAT7,Q4L0Y3,Q5IS78,Q6LCI5,Q7YRB4,Q90322,Q95106,Q9TST3">BDNF</mark> signaling.
18765678-1803	The dominant positive regulator of mTORC1 is the <mark style="background-color:lightblue;" id="6830">GTP</mark>-charged form of the <mark style="background-color:lightgreen;" id="P03967,P22126,Q07152">ras</mark> -like GTPase <mark style="background-color:lightgreen;" id="Q62639,Q921J2,Q9VND8">Rheb</mark> .
18765678-1804	In contrast, amino acids, especially leucine, regulate mTORC1 by controlling the ability of <mark style="background-color:lightgreen;" id="Q62639,Q921J2,Q9VND8">Rheb</mark> -<mark style="background-color:lightblue;" id="6830">GTP</mark> to activate mTORC1.
18814864-1818	A number of site-specific modifications of the <mark style="background-color:yellow;" id="GO:0000786,cellular_component">nucleosome</mark> core histones-including the trimethylated forms of <mark style="background-color:lightgreen;" id="P02299,P07041,P08437,P08898,P22843,P23753,P40285,P50564,P61830,P61831,P61832,P61833,P61834,P61835,P61836,P80553,P83864,P84235,P84236,P84237,P84238,P84239,P90543,Q06196,Q2UCQ0,Q5DWI3,Q757N1,Q7XYZ0,Q98RY4,Q9HDN1,Q9P427,Q9U7D1">histone H3</mark> lysines K4, K9, and <mark style="background-color:lightblue;" id="5492535">K27</mark>-are of particular interest for postmortem research, because these marks differentiate between active and inactive <mark style="background-color:yellow;" id="GO:0000785,cellular_component">chromatin</mark> and seem to remain relatively stable during tissue autolysis.
18773910-1819	We solved the crystal structures of Aquifex aeolicus <mark style="background-color:lightgreen;" id="P31927,P49031,P49903,Q43845,Q43876">SPS</mark> and its complex with <mark style="background-color:lightgreen;" id="Q9I7S8">adenosine 5</mark> '-(alpha,beta-<mark style="background-color:lightblue;" id="123164">methylene</mark>) triphosphate (<mark style="background-color:lightblue;" id="92199">AMPCPP</mark>).
18773910-1820	To identify the amino-acid residues that contribute to <mark style="background-color:lightgreen;" id="P31927,P49031,P49903,Q43845,Q43876">SPS</mark> activity, we prepared six mutants of <mark style="background-color:lightgreen;" id="P31927,P49031,P49903,Q43845,Q43876">SPS</mark> and examined their <mark style="background-color:lightblue;" id="107674">selenide</mark>-dependent ATP consumption.
18773910-1821	In <mark style="background-color:lightgreen;" id="P31927,P49031,P49903,Q43845,Q43876">SPS</mark> .<mark style="background-color:lightblue;" id="92199">AMPCPP</mark>, the N-terminal loop, including the two residues, assumes different conformations ("open" and "closed") between the two subunits.
18781168-1823	So far, in maize, three classes of mutants involved in <mark style="background-color:lightblue;" id="890">phytic acid</mark> <mark style="background-color:yellow;" id="GO:0009058,biological_process">biosynthesis</mark> have been isolated: <mark style="background-color:lightgreen;" id="P61793,P61794">lpa1</mark> , <mark style="background-color:lightgreen;" id="Q9JL06">lpa2</mark> and <mark style="background-color:lightgreen;" id="Q8K5E0,Q9EQ31">lpa3</mark> .
18773925-1827	The results indicated that <mark style="background-color:lightgreen;" id="O02777,P20272,P21554,P47746,P56971,Q333S9,Q5IS73,Q71SP5,Q801M1,Q9PUI7">CB1</mark> receptors within the <mark style="background-color:yellow;" id="GO:0005634,cellular_component">nucleus</mark> accumbens are involved in the acquisition and expression of <mark style="background-color:lightblue;" id="5288826,5479215">morphine</mark>-induced <mark style="background-color:lightgreen;" id="Q01957">CPP</mark> in sensitized rats.
18773927-1828	Effect of <mark style="background-color:lightgreen;" id="Q6BEG6,Q6BEG7,Q9BDJ6,Q9BEF8,Q9EQX0,Q9GKY5,Q9UBU3">obestatin</mark> on <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> , <mark style="background-color:lightgreen;" id="O12956,O42143,O42144,P01272,P01273,P01274,P01275,P04093,P05110,P06883,P07449,P09566,P09567,P09682,P09686,P0C235,P13189,P15438,P18108,P22890,P29794,P31297,P33528,P55095,P68259,P68260,P68273,P68274,P68275,P68952,P68953,P68954,P68955,P68956,P68957,P79695,P81880,Q8MJ25,Q9PRQ9">glucagon</mark> and <mark style="background-color:lightblue;" id="16129681,16129706">somatostatin</mark> <mark style="background-color:yellow;" id="GO:0046903,biological_process">secretion</mark> in the perfused rat pancreas.
18773927-1829	The potentiated effect of <mark style="background-color:lightgreen;" id="Q6BEG6,Q6BEG7,Q9BDJ6,Q9BEF8,Q9EQX0,Q9GKY5,Q9UBU3">obestatin</mark> on <mark style="background-color:lightblue;" id="206,5793,64689,79025">glucose</mark>-induced <mark style="background-color:lightgreen;" id="P01314,P01316,P01319,P01320,P01324,P01328,P01330,P01331,P01334,P01336,P01340,P07453,P09476,P09477,P0C236,P12703,P12704,P12708,P13190,P18109,P29335,P42633,P67968,P67969,P67971,P67973,P67974,P68243,P68245,P68987,P68988,P68989,P68990,P68991,P68992,P69046,P69047,P69048,P81423,P81881,Q9TQY7">insulin</mark> output was not observed in the presence of <mark style="background-color:lightblue;" id="3019">diazoxide</mark>, an agent that activates ATP-dependent K(+) channels, thus suggesting that these channels might be sensitive to this peptide.
18814910-1833	We here demonstrate that <mark style="background-color:lightgreen;" id="O75762">TRPA1</mark> confers a sensitivity towards near ultraviolet (UVA) light, which rapidly causes <mark style="background-color:lightblue;" id="271">Ca(2</mark>+) entry.
18814910-1834	In the presence of the photosensitising agents <mark style="background-color:lightblue;" id="62344">acridine orange</mark> (100 nM) or <mark style="background-color:lightblue;" id="5281051">hypericin</mark> (10 nM), the sensitivity of light-induced <mark style="background-color:lightgreen;" id="O75762">TRPA1</mark> activation was increased and extended towards the visible spectrum.
18716607-1836	The objective of this study was to evaluate the quantitative relation between measured red blood cell <mark style="background-color:lightgreen;" id="Q867X2,Q867X3,Q86GC9,Q92081">acetylcholinesterase</mark> ( <mark style="background-color:lightgreen;" id="P22002">RBC</mark>  <mark style="background-color:lightgreen;" id="O42275,O62763,P04058,P07140,P07692,P21836,P22303,P23795,P36196,P37136,P56161,Q27677,Q29499,Q867X2,Q867X3,Q869C3,Q86GC8,Q86GC9,Q92035,Q92081,Q9DDE3">AChE</mark> ) and plasma butyrylcholinesterase (BuChE) activities with exposure to <mark style="background-color:lightblue;" id="2730">chlorpyrifos</mark> ( <mark style="background-color:lightgreen;" id="O00482">CPF</mark> ) as assessed by measurement of urinary <mark style="background-color:lightblue;" id="23017">3,5,6-trichloro-2-pyridinol</mark> (<mark style="background-color:lightblue;" id="62764">TCPy</mark>) in a study group of workers occupationally exposed in the manufacture of <mark style="background-color:lightgreen;" id="O00482">CPF</mark> and a referent group of chemical manufacturing workers.
18773955-1842	We administered <mark style="background-color:lightblue;" id="991">parathion</mark> to newborn rats on postnatal days (PN) 1-4 at doses spanning the threshold for detectable <mark style="background-color:lightgreen;" id="P32749,P32750,P32751,P32752,P32753,P81908">cholinesterase</mark> inhibition (0.1 mg/kg/day) and the first signs of loss of viability (0.2 mg/kg/day).
18798567-1853	Bark of elderberry (Sambucus nigra) contains a <mark style="background-color:lightblue;" id="6036,439353,439357">galactose</mark> ( <mark style="background-color:lightgreen;" id="P10683,P11886,P47212">Gal</mark> )/<mark style="background-color:lightblue;" id="899,35717,84265,439174">N-acetylgalactosamine</mark> (<mark style="background-color:lightblue;" id="35717,84265">GalNAc</mark>)-specific <mark style="background-color:lightgreen;" id="P02871,P02873,P02874,P02875,P07386,P16108,P16349,P16351,P16352,P33888,P38662,P42088,P83410,P83511,P84987,Q41114">lectin</mark> (<mark style="background-color:lightblue;" id="447954">SNA</mark>-II) corresponding to slightly truncated B-chains of a genuine Type-II <mark style="background-color:lightgreen;" id="P10297,P21326,P23339,P24475,P24476,P24477,P80750,Q03464,Q40772">ribosome-inactivating protein</mark> (Type-II <mark style="background-color:lightgreen;" id="P24817,P52594,P56626,Q13546,Q2TA45,Q86UA6">RIPs</mark> , <mark style="background-color:lightblue;" id="447954">SNA</mark>-V), found in the same species.
18815024-1868	A new biosensor for trehalose determination has been realized by means of a flow system, based on a reactor in which the trehalase enzyme catalyses its hydrolysis into two <mark style="background-color:lightblue;" id="206,79025">alpha,d-glucose</mark> molecules, and a <mark style="background-color:lightgreen;" id="P13006,P81156,Q92452">GOD</mark> ( <mark style="background-color:lightgreen;" id="P81156">glucose oxidase</mark> ) amperometric biosensor is employed for the <mark style="background-color:lightblue;" id="206,64689,79025">glucose</mark> determination.
18716756-1877	Immunofluorescence analysis revealed that two known virulence-associated <mark style="background-color:lightgreen;" id="O12164,O41803,O42043,O56861,O70902,O71037,O89292,O91086,P03374,P03375,P03377,P03378,P03379,P03380,P03381,P03383,P03385,P03386,P03387,P03388,P03390,P03391,P03392,P03395,P03396,P03397,P03399,P04027,P04502,P04577,P04578,P04579,P04580,P04581,P04582,P04583,P04624,P05877,P05878,P05879,P05880,P05881,P05882,P05883,P05884,P05885,P05886,P06445,P06751,P06752,P07575,P08359,P08360,P08810,P0C212,P10259,P10267,P10269,P11261,P11267,P11268,P11306,P12449,P12487,P12488,P12489,P12492,P14075,P14351,P15073,P15831,P16082,P16090,P16899,P17281,P17755,P18040,P18094,P18799,P19030,P19503,P19549,P19550,P19551,P19556,P19557,P20871,P20872,P20888,P21412,P21415,P21436,P21443,P21444,P21445,P22380,P22427,P22428,P22429,P22430,P23064,P23073,P23422,P23423,P24105,P25057,P25504,P25505,P25506,P25507,P26803,P26804,P27399,P27757,P27977,P31621,P31626,P31627,P31789,P31791,P31794,P31796,P31819,P31872,P32536,P32541,P33498,P35954,P35961,P51515,P51519,P51520,P60507,P60508,P60608,P61549,P61550,P61552,P61553,P61554,P61555,P61556,P61557,P61558,P61559,P61561,P61562,P61563,P61564,P61565,P61566,P61567,P61570,Q02076,Q02077,Q02282,Q02837,Q03804,Q03816,Q03817,Q04993,Q04995,Q05312,Q09SZ7,Q0R5Q9,Q14264,Q1A243,Q1A261,Q69384,Q70626,Q73372,Q74126,Q75008,Q76638,Q77377,Q79670,Q85646,Q89607,Q8AIH5,Q8MIB6,Q902F8,Q902F9,Q96L62,Q9IDV2,Q9N2J8,Q9N2J9,Q9N2K0,Q9NX77,Q9Q714,Q9QBY2,Q9QBZ0,Q9QBZ4,Q9QBZ8,Q9QSQ7,Q9TTC0,Q9UKH3,Q9UQF0,Q9WC60,Q9WC69">surface proteins</mark> featuring <mark style="background-color:lightblue;" id="3977067">Leu-Pro</mark>-X- <mark style="background-color:lightgreen;" id="P42286,Q6V3V8,Q6V3W0">Thr</mark> -<mark style="background-color:lightblue;" id="750,5460845">Gly</mark> motif, <mark style="background-color:lightgreen;" id="O64362,O80288,O80292,P00720,P03706,P07540,P09963,P10439,P11187,P15057,P19385,P19386,P27359,P33486,P51728,P51771,P62692,P62693,P68920,P68921,P76159,P78285,Q37875,Q37896,Q9T1T5,Q9T1X2,Q9ZXB7">muramidase</mark> -released protein and surface antigen one, were absent in the DeltasrtA.
18716761-1880	In addition, neuronal <mark style="background-color:lightgreen;" id="O61309,O61608,Q27571,Q9I9M2">nitric oxide synthase</mark> , another component of the <mark style="background-color:lightblue;" id="22880">NMDA</mark>/<mark style="background-color:lightblue;" id="145068">nitric oxide</mark>/<mark style="background-color:lightblue;" id="24316">cGMP</mark> <mark style="background-color:yellow;" id="GO:0005622,cellular_component">intracellular</mark> pathway, has been reported to be dysregulated in schizophrenia patients.
18716776-1884	This study examined whether vitamin K insufficiency affected anticoagulation response to the direct <mark style="background-color:lightgreen;" id="P82354">thrombin inhibitor</mark> , <mark style="background-color:lightblue;" id="9574101">ximelagatran</mark>.
18815084-1886	The angiogenic potential of vascular endothelial growth factor ( <mark style="background-color:lightgreen;" id="P15691,P15692,P26617,P49151,P50412,P67964,P67965,Q99PS1,Q9GKR0,Q9MYV3">VEGF</mark> ) and its <mark style="background-color:lightblue;" id="977">oxygen</mark> pressure-dependent regulation suggest a strong connection between this growth factor and the 'delay phenomenon'.
18774132-1889	The Arg105 in <mark style="background-color:lightgreen;" id="O95528,Q9BYW1">GLUT10</mark> is highly conserved across species and its replacement with <mark style="background-color:lightblue;" id="594,5862,5360637">cysteine</mark> is predicted to be pathogenic.
18815123-1901	Quantitative proteomics analysis of macrophage rafts reveals compartmentalized activation of the proteasome and of proteasome-mediated <mark style="background-color:lightgreen;" id="P29323">ERK</mark> activation in response to <mark style="background-color:lightblue;" id="11970143">lipopolysaccharide</mark>.
18815141-1912	<mark style="background-color:lightblue;" id="7906">Methylmercury</mark> toxicity and <mark style="background-color:lightgreen;" id="O54968,Q60795">Nrf2</mark> -dependent detoxification in astrocytes.
